content,score
good,positive
"Gra2 apk nih..nilai sering nol,uh cape bljrr",negative
File tidak bisa diunduh,positive
"Ini aplikasinya ngebug atau bagaimana sih? Saya aploud tugas sebesar 200kb kok di edlink jadi 19gb? Saya jadi tidak bisa mengumpulkan tugas lagi, tolong jawabannya",negative
Aplikasi kountol tenan suog,negative
Apakah apps ini support untuk device dengan harmony os yg tdk didukung GMS?,positive
Setelah update tidak dapat upload tugas bentuk .pdf,positive
Nyari file yang udah didownload jadi susah karena pengaturannnya berubah-ubah.,negative
"Ko ga bisa di download..??jaringan saya stabil gagal terus,kampus saya pakai edlink soalnya",negative
Hayyy saya jg ikut nyumbang bintang deh..,positive
Good,positive
Good,positive
jelek app nya,negative
"Sangat tidak bagus, lambat loading, bikin emosi. Mohon diperbaiki",negative
Tolong edlinknya di perbaiki lagi. Kenapa akun saya tidak bisa di buka,negative
Sangat membantu,positive
Dear admin...ini kenapa ya saya buka edlink buffering terus ..mohon pencerahaan nya min,negative
"Mas mba operator, edlink saya kenapa gabisa save file kepenyimpanan hp, terus filenya gabusa dibuka juga, padahal sudah di izinkan dipengaturan hp nya, tapi tetap gabisa juga, tolong sarannya susah bgt gini mau buka file materi kuliah 😭😭😭",negative
"Min ini kenapa yah setiap buka edlink durasi login lama banget, padahal jaringan bagus-bagus aja. Tolong di perbaiki yah min, soalnya bisa ngaruh sama tugas dan kehadiran di kampus.",negative
Penyimpanan penuh dan gak bisa hapus sangat mengecewakan saja,negative
"gausa aneh aneh yaa, KEMBALIKAN EDLINK SEPERTI SEDIA KALA 😭🙏",negative
Jelek,negative
"Notifikasi edlink lama and telat banget, tolong dong diperbaiki.",negative
Kenapa di edlink saya tidak bisa buka file materi ya?,positive
👍,positive
"Gabisa masuk Aplikasi, Data tidak ditemukan, padahal sudah benar, Tapi login di Web bisa.",negative
Kntl gk bisa di buka,negative
"Kak..ini kenapa pada saya mengikuti Quis pada soal Pilihan Ganda(PG), itu saya tidak bisa tekan huruf obsen(A,B,C,D)...itu kenapa bisa terjadi model bgitu kak? Sampai saya mendapatkan nilai 0 😭😔 Tolong kasi solusinya bagaimana kak?😭😭🙏",negative
Jelek,negative
"Tolong pihak edlink Perbaiki aplikasinya Saya kuliah telat Mulu Kenapa diedlink tidak ada fitur Notifikasi yang Berbunyi? Tolong tambahkan notifikasi yg berbunyi sprt aplikasi lain,Dan Juga Untuk Postingan terbaru selalu ada dibawah postingan lama tolong saya kira tidak ada tugas dari dosen",negative
Pisahin lah tugas sama berita yang gak jelas,negative
"Ribet, punten 🙏",negative
Kalo mau ndownload file susah bgt. Sering trobel juga,negative
"Format zip rar tidak mendukung, sedangkan dosen minta file format rar zip",negative
Kasih bintang 4 dlu yaa soalnya edlink ku malah lalau ndk bsa unduh materi,positive
"Hai admin kenapa saya login lewat google tiba"" apknya FC padahal saya pake android keluaran terbaru mohon penjelasannya ya",negative
Tolong kok tugas file saya yang udah hilang semua. Ini bagaimana ya cara mengembalikannya🙏🏻😭,negative
Bagus,positive
"Dokumen tidak bisa dibuka melalui aplikasinya, jadi membukanya harus lewat file dulu baru bisa, padahal sebelum update bisa dibuka melalui aplikasinya langsung Mohon diperbaiki bug nya",negative
"Kok saya ga bisa absen, setelah scan QR malah ngefreeze dan ga muncul konfirmasi hadir kelas. Jadi saya ga terhitung hadir.",negative
"Udah download file tpi gak bisa2 di buka,bikin susah sekarang",negative
"Dear developer yang terhormat, tolong postingan dosen yang terbaru di letak paling atas, masa postingan yang lama di paling atas dan yang terbaru di bawahnya, saya kira ga ada postingan lgi. Tolong lh di perbaiki, walaupun postingan yang lama komentarnya 1 jt triliun jgn lgi di naikin ke atas. Gimna mau nyaman make nya.",negative
Gak bisa scan qr absen,negative
Mantap,positive
Membantu,positive
"Kak ini urgent bnget, knapa setiap ada kuis jwabannya gk bisa dipilih trus waktunya udh habis otomatis kan gk bisa milih jwaban klo waktunya hbis pdahal blum jawab apa². Akun edlink aku yg bermasalah atau gimana kak, klo iya gmana cara mmperbaikinya. Tolong sarannya kak, cuman karena gara-gara kuis nilai eror :(",negative
Sering log out sendiri,negative
"Jelek bgt tiba2 keluar udh d update juga terus masa data tidak d temukan,tpi d web bisa 👎",negative
Lumayan,negative
Maaf saya mau upgrade ke pro Kok ga ada ya? Gimana cara upgrade ke pro?,negative
Biar bintang yng bicara,negative
Udh lumayan bgt lah,positive
"Sudah membuat sekali apk ini tapi sayang nya, tiap kali di up masalah yg timbul malah aneh aneh. Ini kenapa file yang di kirim dosen tidak bisa di buka padahal sudah selesai terundo. Sekian dan terimakasih",negative
JELEK BANGET. Masa tiap klik kelas akademik tbtb keluar sendiri terus. Udah berapa minggu kek gini percuma banget download dihp tapi gabisa kepake,negative
Lho kok luama bangat duonloadnya aku dah pake wife,negative
Kenapa edlink selalu update terus sih. Banyak sekali erornya. Gak bagus aplikasi ini.,negative
Hallo . Kenapah sih saya gak bisa posting ke informasi selalu muncur gangguan jarian,negative
Akhir ini edlink terhenti mulu😏,negative
Good,positive
Tolonglah perbaiki jangan lelet trus..dikit2 harus upgrade trs,negative
Tolong aplikasi nya di update lagi.. Bagi pengguna smartphone kami tidak bisa melihat unduhan materi yg dikirmkan dosen karena tidak tersimpan di aplikasi nya. ini menjadi kesulitan kami dalam belajar maksimal dan efisien.,negative
"Aplikasi banyak bug nya. Udah download file tapi di penyimpanan edlink telepon gak ada. Sinyal juga udah kuat tapi masih suka loading edlinknya, kadang kalo mau jawab di kuis Tiba-tiba error padahal sinyal juga bagus banget. tolong kalo update itu harusnya makin bagus dong :) sekian terimacash",negative
"Tolong diperbaiki dong, jadi gak bisa liat file yg telah di dwnld setelah di perbarui",negative
Kak ini kenapa ya kalo saya mau ngunduh file pdf atau word yang diberikan dosen gabisa ya malah disuruh cek lagi,negative
Terlalu ribet,negative
"Najis lemot banget servernya, makin d upgrade malah makin gk enak",negative
Kenapa yah setiap buka edlink harus di update terus:(,negative
Menjadilah,positive
"Sangat sedih karena saya harus mengulang kembali mengirimkan tugas pada dosen pasalnya tiba-tiba filenya hilang saat saya kembali login... Untuk kedepannya saya harap tidak ada masalah lagi, terimakasih",positive
"keseringan update bukannya makin bagus malah makin rusak apknya, keluar sendiri trus ladang suka eror harus akses lewat web klo mau buka edlink🔪",negative
Nice,positive
Oke sekali 😂,positive
Kuliah online jadi mudah,positive
Ok,positive
Saya selalu mahasiswa merasa kecewa sekli dengan aplikasi ini sdh brpa kali aku login untuk masuk untuk megerjakan tugas tpi ngak bisa login di pake akun siakad kampus ttp ngak jadi pake akun email ngak jadi jug🤔🤔🙄😏,negative
Good..sangat membantu dlm tugas,positive
👏👏👏👏👏👏👏👏👍👍👍👍👍👍,positive
Oke,positive
"Keluar sendiri dari akun edlink siakad di hp. Pas isi lolom buat masuk lagi eh malah ga bisa. Tapi giliran di buka di pc, baru bisa. Kenapa ya? Padahal ngrrjain apa apa di hp saat ini tuh memudahkan banget. Ini malah kudu balik lagi ke.. laptop. Eeaa",negative
Joob,positive
Susah mengirim tugas padahal sudah ada di file document tapi pas buka edlink gak adaa,negative
Ok,positive
"Min, kenapa kami gak bisa login lewat website? Padahal sebelumnya login lewat siakad aman2 aja",negative
Cukup membantu dalam proses pembelajaran daring,positive
Android versi 10 tidak bisa melihat file di berkas,negative
Banyak eror nya,negative
"Gara"" edlink anjlok nilai ku njir",negative
Edlink nih Ose knp kuis kuis su pake waktu baru maso eror eror ini Ose bgmna,negative
Gk danta,negative
Tolong dong,negative
"Mengecewakan, tidak bisa unduh materi",negative
Sangat baik,positive
"Saya seorang mahasiswa selaku pengguna aplikasi tersebut merasa kecewa, entah kesalahan ini datang dari dosen saya ataukah dari aplikasi tersebut. Nilai UTS satu kelas saya eror, paling tinggi hanya dapat 30an padahal soal dan jawaban sama percis dengan kelas lain tapi nilai kami berbeda. Secara keseluruhan aplikasi tersebut memiliki tampilan yan bagus dengan pemilihan warna yang nyaman untuk dilihat dalam waktu yang cukup lama dan juga untuk mengerjakan tugas atau kuis di edlink sangat bagus.",negative
Maaf untuk android 11 masih ada bug tidak bisa upload file,negative
